;인덱스		
;그룹		
;아이템 인덱스		
;확률		
;		
;		1000000000 = 100
;		100000000 = 10
;		10000000 = 1
;그룹	아이템 인덱스	확률
;드랍없는 사냥도감용 더미		
1	0	1000000000
;준기연4		
5	1	3546875
5	2	3546875
5	3	3546875
5	4	3546875
5	5	3546875
5	101	3546875
5	102	3546875
5	103	3546875
5	104	3546875
5	105	3546875
5	201	3546875
5	202	3546875
5	203	3546875
5	204	3546875
5	205	3546875
5	301	3546875
5	302	3546875
5	303	3546875
5	304	3546875
5	305	3546875
5	401	3546875
5	402	3546875
5	403	3546875
5	404	3546875
5	501	3546875
5	502	3546875
5	503	3546875
5	504	3546875
5	601	3546875
5	602	3546875
5	603	3546875
5	604	3546875
5	701	3546875
5	702	3546875
5	703	3546875
5	704	3546875
5	801	3546875
5	802	3546875
5	803	3546875
5	804	3546875
5	901	3546875
5	902	3546875
5	903	3546875
5	904	3546875
5	1001	3546875
5	1002	3546875
5	1003	3546875
5	1004	3546875
5	1201	3546875
5	1301	3546875
5	1501	3546875
5	1502	3546875
5	1503	3546875
5	1504	3546875
5	2401	3546875
5	2402	3546875
5	2403	3546875
5	2404	3546875
5	2405	3546875
5	2501	3546875
5	2502	3546875
5	2503	3546875
5	2504	3546875
5	2505	3546875
5	6	383334
5	7	383334
5	8	383334
5	9	383334
5	106	383334
5	107	383334
5	108	383334
5	109	383334
5	206	383334
5	207	383334
5	208	383334
5	209	383334
5	306	383334
5	307	383334
5	308	383334
5	309	383334
5	405	383334
5	406	383334
5	407	383334
5	408	383334
5	505	383333
5	506	383333
5	507	383333
5	508	383333
5	605	383333
5	606	383333
5	607	383333
5	608	383333
5	705	383333
5	706	383333
5	707	383333
5	708	383333
5	805	383333
5	806	383333
5	807	383333
5	808	383333
5	905	383333
5	906	383333
5	907	383333
5	908	383333
5	1005	383333
5	1006	383333
5	1007	383333
5	1008	383333
5	1202	383333
5	1203	383333
5	1302	383333
5	1303	383333
5	1505	383333
5	1506	383333
5	1507	383333
5	1508	383333
5	2406	383333
5	2407	383333
5	2408	383333
5	2409	383333
5	2506	383333
5	2507	383333
5	2508	383333
5	2509	383333
5	5301	1000000
5	5302	1000000
5	5303	1000000
5	5335	50000000
5	6706	50000000
5	5334	10000000
5	5002	100000000
5	5502	500000
5	5503	500000
5	5504	500000
5	5505	500000
5	5506	500000
5	5501	97500000
5	3901	30000000
5	3905	200000000
5	2901	78445000
5	3001	78445000
;5	6728	50000000
5	5347	100000
5	5346	10000
;기연1		
7	1	3436563
7	2	3436562
7	3	3436563
7	4	3436562
7	5	3436563
7	101	3436562
7	102	3436563
7	103	3436562
7	104	3436563
7	105	3436562
7	201	3436563
7	202	3436562
7	203	3436563
7	204	3436562
7	205	3436563
7	301	3436562
7	302	3436563
7	303	3436562
7	304	3436563
7	305	3436562
7	401	3436563
7	402	3436562
7	403	3436563
7	404	3436562
7	501	3436563
7	502	3436562
7	503	3436563
7	504	3436562
7	601	3436563
7	602	3436562
7	603	3436563
7	604	3436562
7	701	3436563
7	702	3436562
7	703	3436563
7	704	3436562
7	801	3436563
7	802	3436562
7	803	3436563
7	804	3436562
7	901	3436563
7	902	3436562
7	903	3436563
7	904	3436562
7	1001	3436563
7	1002	3436562
7	1003	3436563
7	1004	3436562
7	1201	3436563
7	1301	3436562
7	1501	3436563
7	1502	3436562
7	1503	3436563
7	1504	3436562
7	2401	3436563
7	2402	3436562
7	2403	3436563
7	2404	3436562
7	2405	3436563
7	2501	3436562
7	2502	3436563
7	2503	3436562
7	2504	3436563
7	2505	3436562
7	6	394737
7	7	394737
7	8	394737
7	9	394737
7	10	394737
7	106	394737
7	107	394737
7	108	394737
7	109	394737
7	110	394737
7	206	394737
7	207	394737
7	208	394737
7	209	394737
7	210	394737
7	306	394737
7	307	394737
7	308	394737
7	309	394737
7	310	394737
7	405	394737
7	406	394737
7	407	394737
7	408	394737
7	409	394737
7	505	394737
7	506	394737
7	507	394737
7	508	394737
7	509	394737
7	605	394737
7	606	394737
7	607	394737
7	608	394737
7	609	394737
7	705	394737
7	706	394737
7	707	394737
7	708	394737
7	709	394737
7	805	394737
7	806	394737
7	807	394737
7	808	394737
7	809	394737
7	905	394737
7	906	394737
7	907	394737
7	908	394737
7	909	394737
7	1005	394737
7	1006	394737
7	1007	394737
7	1008	394737
7	1009	394737
7	1202	394737
7	1203	394737
7	1204	394737
7	1302	394737
7	1303	394737
7	1304	394737
7	1505	394737
7	1506	394737
7	1507	394737
7	1508	394736
7	1509	394736
7	2406	394736
7	2407	394736
7	2408	394736
7	2409	394736
7	2410	394736
7	2506	394736
7	2507	394736
7	2508	394736
7	2509	394736
7	2510	394736
7	11	3750
7	111	3750
7	211	3750
7	311	3750
7	410	3750
7	510	3750
7	610	3750
7	710	3750
7	810	3750
7	910	3750
7	1010	3750
7	1205	3750
7	1305	3750
7	1510	3750
7	2411	3750
7	2511	3750
7	5301	2000000
7	5302	2000000
7	5303	2000000
7	5304	334
7	5305	333
7	5306	333
7	5335	50000000
7	6706	50000000
7	5334	10000000
7	5002	100000000
7	5502	500000
7	5503	500000
7	5504	500000
7	5505	500000
7	5506	500000
7	5501	97500000
7	3901	30000000
7	3905	200000000
7	2902	76944500
7	3002	76944500
;7	6728	50000000
7	5347	100000
7	5346	10000
;기연5		
11	1	3358125
11	2	3358125
11	3	3358125
11	4	3358125
11	5	3358125
11	101	3358125
11	102	3358125
11	103	3358125
11	104	3358125
11	105	3358125
11	201	3358125
11	202	3358125
11	203	3358125
11	204	3358125
11	205	3358125
11	301	3358125
11	302	3358125
11	303	3358125
11	304	3358125
11	305	3358125
11	401	3358125
11	402	3358125
11	403	3358125
11	404	3358125
11	501	3358125
11	502	3358125
11	503	3358125
11	504	3358125
11	601	3358125
11	602	3358125
11	603	3358125
11	604	3358125
11	701	3358125
11	702	3358125
11	703	3358125
11	704	3358125
11	801	3358125
11	802	3358125
11	803	3358125
11	804	3358125
11	901	3358125
11	902	3358125
11	903	3358125
11	904	3358125
11	1001	3358125
11	1002	3358125
11	1003	3358125
11	1004	3358125
11	1201	3358125
11	1301	3358125
11	1501	3358125
11	1502	3358125
11	1503	3358125
11	1504	3358125
11	2401	3358125
11	2402	3358125
11	2403	3358125
11	2404	3358125
11	2405	3358125
11	2501	3358125
11	2502	3358125
11	2503	3358125
11	2504	3358125
11	2505	3358125
11	6	460527
11	7	460527
11	8	460527
11	9	460527
11	10	460527
11	106	460527
11	107	460527
11	108	460527
11	109	460527
11	110	460527
11	206	460527
11	207	460527
11	208	460527
11	209	460527
11	210	460527
11	306	460527
11	307	460527
11	308	460527
11	309	460527
11	310	460527
11	405	460527
11	406	460527
11	407	460527
11	408	460527
11	409	460526
11	505	460526
11	506	460526
11	507	460526
11	508	460526
11	509	460526
11	605	460526
11	606	460526
11	607	460526
11	608	460526
11	609	460526
11	705	460526
11	706	460526
11	707	460526
11	708	460526
11	709	460526
11	805	460526
11	806	460526
11	807	460526
11	808	460526
11	809	460526
11	905	460526
11	906	460526
11	907	460526
11	908	460526
11	909	460526
11	1005	460526
11	1006	460526
11	1007	460526
11	1008	460526
11	1009	460526
11	1202	460526
11	1203	460526
11	1204	460526
11	1302	460526
11	1303	460526
11	1304	460526
11	1505	460526
11	1506	460526
11	1507	460526
11	1508	460526
11	1509	460526
11	2406	460526
11	2407	460526
11	2408	460526
11	2409	460526
11	2410	460526
11	2506	460526
11	2507	460526
11	2508	460526
11	2509	460526
11	2510	460526
11	11	1819
11	12	1819
11	13	1819
11	111	1819
11	112	1819
11	113	1819
11	211	1819
11	212	1819
11	213	1818
11	311	1818
11	312	1818
11	313	1818
11	410	1818
11	411	1818
11	412	1818
11	510	1818
11	511	1818
11	512	1818
11	610	1818
11	611	1818
11	612	1818
11	710	1818
11	711	1818
11	712	1818
11	810	1818
11	811	1818
11	812	1818
11	910	1818
11	911	1818
11	912	1818
11	1010	1818
11	1011	1818
11	1012	1818
11	1205	1818
11	1305	1818
11	1510	1818
11	1511	1818
11	1512	1818
11	2411	1818
11	2412	1818
11	2413	1818
11	2511	1818
11	2512	1818
11	2513	1818
11	5301	2666667
11	5302	2666667
11	5303	2666666
11	5304	334
11	5305	333
11	5306	333
11	5335	50000000
11	6706	50000000
11	5334	10000000
11	5002	100000000
11	5502	500000
11	5503	500000
11	5504	500000
11	5505	500000
11	5506	500000
11	5501	97500000
11	3901	30000000
11	3905	200000000
11	2903	75944500
11	3003	75944500
;11	6728	50000000
11	5347	100000
11	5346	10000
;기연8		
14	1	3125000
14	2	3125000
14	3	3125000
